1,greenhouse gas,khí nhà kính
2,climate,thời tiết
3,emission,sự bốc/toả ra
4,carbon footprint,lượng khí Carbon được thải ra
5,infectious,lây nhiễm
6,ecological,thuộc về sinh thái học
7,heat,hơi nóng/sức nóng
8,chemical,hoá học
9,fertilizer,phân bón
10,industry,công nghiệp
11,deforestation,sự phá rừng
12,man-made,nhân tạo
13,irresponsible,vô trách nhiệm
14,spread,lan toả
15,supply,sự cung cấp
16,average,trung bình
17,temperature,nhiệt độ
18,extreme,vô cùng
19,stable,ổn định
20,species,loài
21,trap,bẫy
22,measure,đo lường
23,extinction,sự tuyệt chủng
24,flood,lũ lụt
25,petrol,xăng dầu
26,inform,nói cho ai biết/thông báo
27,ignore,không để ý/lờ đi
28,sparingly,tiết kiệm/tằn tiện
29,suspect,nghi ngờ
30,ton,tấn
31,toxic,độc
32,habitat,nơi sống
33,catastrophic,thảm khốc
34,substance,chất
35,electricity,điện/điện lực
36,transport,sự vận tải
37,rapidly,nhanh chóng
38,absorb,hút
39,capture,bắt giữ
40,disrupt,phá vỡ/đập gãy
